,ID,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
Fz_082,304,1255.109,1250.962,1237.294,1214.209,1181.884,1140.564,1090.563,1032.263,966.107,892.597,812.295,725.811,633.802,536.971,436.052,331.815,225.052,116.577,7.215
Fz_083,305,1154.947,1149.358,1135.021,1112.047,1080.609,1040.946,993.362,938.218,875.933,806.981,731.889,651.226,565.606,475.683,382.139,285.686,187.060,87.009,-13.703
Fz_084,306,1305.154,1302.304,1289.544,1266.969,1234.751,1193.137,1142.442,1083.052,1015.420,940.059,857.545,768.503,673.613,573.597,469.215,361.262,250.559,137.950,24.291
Fz_085,307,695.197,693.385,686.297,673.985,656.543,634.105,606.841,574.959,538.701,498.343,454.192,406.584,355.883,302.473,246.760,189.170,130.140,70.120,9.566
Fz_086,308,844.749,846.976,842.758,832.126,815.161,791.992,762.795,727.794,687.253,641.482,590.828,535.678,476.452,413.599,347.599,278.953,208.184,135.830,62.443
Fz_087,309,890.712,898.065,898.583,892.263,879.151,859.349,833.007,800.325,761.552,716.983,666.957,611.856,552.098,488.138,420.463,349.588,276.053,200.416,123.255
Fz_088,310,1138.344,1145.155,1143.250,1132.644,1113.418,1085.719,1049.756,1005.804,954.197,895.329,829.646,757.649,679.886,596.949,509.469,418.111,323.571,226.569,127.842
Fz_089,311,1193.697,1150.272,1098.091,1037.554,969.121,893.311,810.703,721.926,627.653,528.605,425.533,319.222,210.482,100.140,-10.964,-121.984,-232.076,-340.402,-446.138
Fz_090,312,1313.371,1267.277,1211.538,1146.578,1072.893,991.042,901.649,805.394,703.009,595.274,483.008,367.066,248.331,127.706,6.109,-115.535,-236.299,-355.265,-471.527
Fz_091,313,1366.805,1374.089,1370.916,1357.310,1333.373,1299.289,1255.316,1201.790,1139.117,1067.775,988.306,901.316,807.467,707.472,602.092,492.131,378.424,261.837,143.257
Fz_092,314,792.523,801.332,804.043,800.635,791.133,775.611,754.185,727.020,694.322,656.339,613.362,565.716,513.765,457.903,398.557,336.178,271.240,204.238,135.681
Fz_093,315,923.279,928.164,925.984,916.757,900.553,877.496,847.760,811.572,769.207,720.989,667.283,608.499,545.084,477.520,406.322,332.032,255.215,176.456,96.353
